Effective	Repo	Change	Deposit	Lending

31/10/2007 	4.00 	0.25 	3.25 	4.75
12/09/2007 	3.75 	0.25 	3.00 	4.50
27/06/2007 	3.50 	0.25 	2.75 	4.25
21/02/2007 	3.25 	0.25 	2.50 	4.00
20/12/2006 	3.00 	0.25 	2.25 	3.75
01/11/2006 	2.75 	0.25 	2.00 	3.50
06/09/2006 	2.50 	0.25 	1.75 	3.25
21/06/2006 	2.25 	0.25 	1.50 	3.00
01/03/2006 	2.00 	0.25 	1.25 	2.75
25/01/2006 	1.75 	0.25 	1.00 	2.50
22/06/2005 	1.50 	-0.50 	0.75 	2.25
07/04/2004 	2.00 	-0.50 	1.25 	2.75
11/02/2004 	2.50 	-0.25 	1.75 	3.25
09/07/2003 	2.75 	-0.25 	2.00 	3.50
11/06/2003 	3.00 	-0.50 	2.25 	3.75
19/03/2003 	3.50 	-0.25 	2.75 	4.25
11/12/2002 	3.75 	-0.25 	3.00 	4.50
20/11/2002 	4.00 	-0.25 	3.25 	4.75
02/05/2002 	4.25 	 0.25 	3.50 	5.00
20/03/2002 	4.00 	 0.25 	3.25 	4.75
19/09/2001 	3.75 	-0.50 	3.00 	4.50
11/07/2001 	4.25 	 0.25 	3.50 	5.00
13/12/2000 	4.00 	 0.25 	3.25 	4.75
09/02/2000 	3.75 	 0.50 	2.75 	4.25
17/11/1999 	3.25 	 0.35 	2.75 	4.25
31/03/1999 	2.90 	-0.25 	2.75 	4.25
17/02/1999 	3.15 	-0.25 	2.75 	4.25
16/12/1998 	3.40 	-0.20 	3.25 	4.75
25/11/1998 	3.60 	-0.25 	3.25 	4.75
18/11/1998 	3.85 	 0.00 	3.25 	4.75
04/11/1998 	3.85 	-0.25 	3.75 	5.25
09/06/1998 	4.10 	-0.25 	3.75 	5.25
16/12/1997 	4.35 	 0.25 	3.75 	5.25
17/12/1996 	4.10 	-0.25 	3.75 	5.25
11/12/1996 	4.35 	 0.00 	3.75 	5.25
27/11/1996 	4.35 	-0.25 	4.25 	5.75
30/10/1996 	4.60 	-0.25 	4.25 	5.75
23/10/1996 	4.85 	-0.10 	4.75 	6.25
09/10/1996 	4.95 	-0.10 	4.75 	6.25
25/09/1996 	5.05 	-0.10 	4.75 	6.25
11/09/1996 	5.15 	-0.10 	4.75 	6.25
28/08/1996 	5.25 	-0.15 	4.75 	6.25
21/08/1996 	5.40 	 0.00 	4.75 	6.25
14/08/1996 	5.40 	-0.15 	5.25 	6.75
31/07/1996 	5.55 	-0.15 	5.25 	6.75
17/07/1996 	5.70 	-0.20 	5.25 	6.75
03/07/1996 	5.90 	-0.20 	5.25 	6.75
26/06/1996 	6.10 	 0.00 	5.25 	6.75
19/06/1996 	6.10 	-0.20 	6.00 	7.50
05/06/1996 	6.30 	-0.20 	6.00 	7.50
22/05/1996 	6.50 	-0.20 	6.00 	7.50
08/05/1996 	6.70 	-0.20 	6.00 	7.50
02/05/1996 	6.90 	 0.00 	6.00 	7.50
24/04/1996 	6.90 	-0.25 	6.75 	8.25
10/04/1996 	7.15 	-0.25 	6.75 	8.25
27/03/1996 	7.40 	-0.20 	6.75 	8.25
20/03/1996 	7.60 	-0.25 	7.50 	9.00
06/03/1996 	7.85 	-0.20 	7.50 	9.00
28/02/1996 	8.05 	-0.25 	7.50 	9.00
14/02/1996 	8.30 	-0.15 	8.00 	9.50
31/01/1996 	8.45 	-0.21 	8.00 	9.50
10/01/1996 	8.66 	-0.25 	8.00 	9.50
05/07/1995 	8.91 	 0.25 	8.00 	9.50
07/06/1995 	8.66 	 0.25 	7.50 	9.00
19/04/1995 	8.41 	 0.07 	7.50 	9.00
12/04/1995 	8.34 	 0.07 	6.50 	8.50
05/04/1995 	8.27 	 0.07 	6.50 	8.50
29/03/1995 	8.20 	 0.05 	6.50 	8.50
22/03/1995 	8.15 	 0.05 	6.50 	8.50
15/03/1995 	8.10 	 0.05 	6.50 	8.50
08/03/1995 	8.05 	 0.15 	6.50 	8.50
01/03/1995 	7.90 	 0.07 	6.50 	8.50
22/02/1995 	7.83 	 0.03 	6.50 	8.50
15/02/1995 	7.80 	 0.20 	6.50 	8.50
14/12/1994 	7.60 	 0.20 	6.00 	8.00
02/11/1994 	7.40 	 0.20 	6.00 	8.00
17/08/1994 	7.20 	 0.28 	6.00 	8.00
16/08/1994 	6.92 	 0.00 	6.00 	8.00
15/06/1994 	6.92 	-0.03 	6.00 	7.50
01/06/1994 	6.95 	-0.05 	6.00 	7.50

The repo rate is the rate of interest at which banks can borrow or deposit funds at the Riksbank for a period of seven days.
The deposit rate is the rate of interest banks receive when they deposit funds in their accounts at the Riksbank overnight and is always 0.75 percentage points lower than the repo rate.
The lending rate is the rate of interest banks pay when they borrow overnight funds from the Riksbank and is always 0.75 percentage points higher than the repo rate.
